timestamp,UTC time,question id,survey id,question type,question text,question answer options,answer,event
1570374162728,2019-10-06T15:02:42.728,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk,changed
1570374163022,2019-10-06T15:02:43.022,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk ,changed
1570374163280,2019-10-06T15:02:43.280,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk u,changed
1570374163580,2019-10-06T15:02:43.580,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk up,changed
1570374164624,2019-10-06T15:02:44.624,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk u,changed
1570374164747,2019-10-06T15:02:44.747,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk ,changed
1570374165321,2019-10-06T15:02:45.321,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk a,changed
1570374165407,2019-10-06T15:02:45.407,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an,changed
1570374165670,2019-10-06T15:02:45.670,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an ,changed
1570374166464,2019-10-06T15:02:46.464,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an h,changed
